region,year,capacity
p79,2020,2.3
p80,2020,20.0
p81,2020,11.9
p83,2020,51.4
p85,2020,103.5
p92,2020,1.5
p94,2020,730.1
p96,2020,455.3
p97,2020,28.8
p98,2020,592.0
p99,2020,514.4
p10,2021,1102.6
p101,2021,358.0
p102,2021,745.8
p103,2021,126.9
p105,2021,78.3
p107,2021,250.4
p11,2021,28.5
p111,2021,364.5
p12,2021,701.0
p121,2021,0.8
p122,2021,7.4
p123,2021,49.4
p124,2021,240.0
p126,2021,38.9
p127,2021,339.6
p128,2021,5.0
p129,2021,12.2
p131,2021,62.1
p132,2021,88.1
p133,2021,43.4
p134,2021,136.4
p25,2021,4.0
p26,2021,260.0
p28,2021,250.0
p29,2021,100.0
p33,2021,43.6
p34,2021,338.6
p41,2021,4.4
p42,2021,1.0
p43,2021,77.72
p47,2021,2.0
p5,2021,137.1
p50,2021,2.0
p53,2021,3.0
p57,2021,517.6
p63,2021,177.8
p66,2021,2616.7
p68,2021,8.88
p7,2021,18.0
p70,2021,100.0
p72,2021,10.0
p75,2021,266.05
p76,2021,2.74
p79,2021,36.82
p80,2021,230.0
p81,2021,12.2
p83,2021,296.8
p84,2021,3.4
p85,2021,13.3
p88,2021,1.2
p90,2021,227.0
p92,2021,9.0
p94,2021,655.9
p96,2021,27.5
p97,2021,28.0
p98,2021,574.6
p99,2021,648.1
p10,2022,1808.3
p101,2022,516.8
p102,2022,597.6
p103,2022,355.4
p105,2022,28.6
p107,2022,5.4
p11,2022,20.0
p110,2022,50.0
p111,2022,4.4
p12,2022,105.0
p122,2022,20.0
p123,2022,111.8
p124,2022,325.0
p125,2022,51.5
p126,2022,19.6
p127,2022,275.35
p128,2022,16.45
p129,2022,5.5
p131,2022,33.4
p132,2022,27.2
p133,2022,49.2
p134,2022,154.2
p16,2022,120.0
p2,2022,155.0
p26,2022,81.5
p28,2022,200.0
p3,2022,10.0
p31,2022,2.5
p33,2022,14.0
p34,2022,221.0
p41,2022,8.5
p43,2022,44.2
p47,2022,49.5
p5,2022,6.4
p50,2022,5.0
p53,2022,3.3
p57,2022,230.2
p58,2022,50.0
p66,2022,2297.7
p68,2022,5.4
p7,2022,8.7
p70,2022,142.5
p72,2022,5.7
p75,2022,259.8
p76,2022,1.0
p79,2022,9.9
p80,2022,79.8
p81,2022,2.0
p83,2022,158.4
p84,2022,8.0
p85,2022,13.2
p88,2022,100.0
p9,2022,1.8
p92,2022,170.7
p94,2022,555.9
p96,2022,198.1
p97,2022,23.8
p98,2022,253.3
p99,2022,322.7
p10,2023,1613.4
p101,2023,443.88
p102,2023,1356.52
p103,2023,267.5
p105,2023,480.5
p107,2023,168.2
p11,2023,22.6
p110,2023,4.5
p111,2023,1216.1
p112,2023,58.1
p12,2023,892.82
p122,2023,515.6
p123,2023,58.7
p126,2023,51.5
p127,2023,253.7
p128,2023,40.0
p129,2023,7.2
p13,2023,26.99
p130,2023,1.1
p131,2023,19.6
p132,2023,2.5
p133,2023,97.0
p134,2023,130.5
p16,2023,40.0
p25,2023,74.0
p26,2023,12.5
p28,2023,308.0
p29,2023,337.6
p31,2023,100.0
p33,2023,264.0
p34,2023,22.0
p35,2023,160.0
p38,2023,80.0
p43,2023,95.0
p47,2023,220.0
p5,2023,217.0
p53,2023,3.9
p57,2023,781.2
p58,2023,220.0
p63,2023,100.0
p66,2023,2753.3
p68,2023,5.9
p72,2023,10.0
p75,2023,783.13
p76,2023,1.67
p79,2023,76.6
p80,2023,299.0
p81,2023,1.7
p83,2023,38.0
p85,2023,472.7
p88,2023,106.3
p90,2023,180.0
p92,2023,221.8
p94,2023,496.5
p96,2023,218.5
p97,2023,5.5
p98,2023,519.3
p99,2023,724.3
p10,2024,1329.5
p101,2024,246.5
p102,2024,2833.0
p103,2024,308.0
p105,2024,1496.42
p107,2024,139.67
p11,2024,24.4
p110,2024,506.8
p111,2024,1176.6
p112,2024,465.0
p116,2024,124.4
p12,2024,734.1
p122,2024,219.4
p123,2024,48.3
p124,2024,435.6
p125,2024,4.3
p126,2024,25.6
p127,2024,385.1
p128,2024,165.0
p131,2024,31.1
p132,2024,164.9
p133,2024,20.0
p134,2024,236.7
p16,2024,100.0
p24,2024,150.0
p25,2024,240.0
p26,2024,321.5
p28,2024,845.0
p29,2024,617.5
p3,2024,80.0
p31,2024,400.0
p33,2024,179.8
p34,2024,352.8
p38,2024,128.0
p41,2024,81.0
p42,2024,3.0
p43,2024,342.8
p47,2024,710.0
p5,2024,5.9
p50,2024,120.0
p53,2024,8.7
p57,2024,1107.7
p58,2024,708.1
p66,2024,10069.1
p68,2024,2.0
p7,2024,11.6
p70,2024,414.1
p72,2024,219.0
p75,2024,658.4
p76,2024,3.1
p79,2024,53.3
p80,2024,48.3
p81,2024,3.9
p83,2024,587.7
p85,2024,1168.7
p88,2024,890.1
p9,2024,0.9
p90,2024,112.4
p92,2024,176.7
p94,2024,1291.5
p96,2024,202.0
p98,2024,129.9
p99,2024,671.0
p10,2025,1474.9
p101,2025,521.5
p102,2025,821.6
p103,2025,1212.0
p105,2025,1010.0
p107,2025,1363.5
p11,2025,12.0
p110,2025,616.0
p111,2025,573.0
p112,2025,49.9
p116,2025,62.2
p12,2025,667.12
p122,2025,503.3
p123,2025,514.7
p124,2025,397.0
p125,2025,168.0
p126,2025,15.4
p127,2025,423.3
p128,2025,983.5
p129,2025,22.0
p13,2025,10.68
p131,2025,9.7
p132,2025,24.0
p134,2025,121.4
p16,2025,200.0
p25,2025,500.0
p26,2025,100.0
p28,2025,1005.0
p29,2025,275.0
p33,2025,306.7
p34,2025,230.0
p38,2025,4.9
p42,2025,1.0
p43,2025,247.1
p47,2025,520.0
p5,2025,314.7
p50,2025,100.0
p53,2025,209.0
p57,2025,2582.4
p58,2025,172.5
p66,2025,4709.0
p68,2025,3.0
p7,2025,4.8
p70,2025,31.7
p72,2025,404.9
p75,2025,101.0
p79,2025,5.1
p80,2025,54.1
p81,2025,2.8
p83,2025,850.6
p85,2025,418.0
p88,2025,104.8
p9,2025,0.7
p90,2025,80.0
p92,2025,191.4
p96,2025,149.6
p97,2025,2.0
p98,2025,185.9
p99,2025,519.0
p10,2026,300.2
p101,2026,223.5
p102,2026,447.4
p103,2026,1198.2
p105,2026,151.9
p107,2026,150.0
p11,2026,19.0
p110,2026,258.5
p111,2026,685.5
p116,2026,61.5
p122,2026,70.0
p123,2026,55.9
p124,2026,368.1
p127,2026,40.0
p128,2026,282.0
p132,2026,2.0
p134,2026,189.2
p16,2026,125.0
p25,2026,95.0
p28,2026,328.0
p29,2026,585.1
p3,2026,160.0
p34,2026,184.9
p43,2026,250.0
p5,2026,1620.0
p50,2026,247.5
p51,2026,124.7
p53,2026,150.0
p57,2026,907.3
p58,2026,199.0
p63,2026,28.0
p66,2026,4289.5
p67,2026,121.3
p75,2026,200.0
p79,2026,1.4
p80,2026,269.2
p81,2026,2.4
p83,2026,107.4
p85,2026,135.0
p88,2026,4.8
p94,2026,500.0
p96,2026,821.9
p98,2026,455.5
p99,2026,452.9
p10,2027,440.0
p103,2027,220.0
p105,2027,300.0
p72,2027,100.0
